Proffesion;Sex;Region;2005;2007;2009;2011
;;Омская область;7,776;12,001;13,945;17,548.4400
;;Оренбургская область;5,634;9,54;13,243;19,126.9700
;;Орловская область;6,932;12,195;11,864;15,890.6900
;;Пензенская область;7,713;10,193;14,309;21,057.9700
;;Пермский край;7,582;11,439;15,604;17,806.0200
;;Приволжский федеральный округ;6,852;10,28;13,634;19,916.8800
;;Приморский край;12,325;17,098;21,643;28,402.6700
;;Псковская область;4,971;12,183;13,189;18,875.7500
;;Республика Адыгея;3,498;5,748;8,02;8,789.0600
;;Республика Алтай;9,018;12,546;14,325;17,363.5100
;;Республика Башкортостан;8,276;11,598;14,409;20,444.6500
;;Республика Бурятия;5,702;12,63;17,03;23,004.1000
;;Республика Дагестан;5,101;5,531;11,57;16,282.0100
;;Республика Ингушетия;;;9,512;8,782.3500
;;Республика Калмыкия;8,782;6,883;12,36;10,516.2800
;;Республика Карелия;11,153;16,436;17,872;23,259.1100
;;Республика Коми;12,852;19,463;26,184;32,323.7600
;;Республика Марий Эл;6,3;6,308;7,285;11,729.6300
;;Республика Мордовия;6,238;6,965;6,669;11,293.4000
;;Республика Саха (Якутия);13,668;21,954;27,453;38,455.0700
;;Республика Северная Осетия - Алания;3,788;8,524;9,312;11,815.2600
;;Республика Татарстан;6,25;8,402;11,723;16,537.2600
;;Республика Тыва;5,49;14,227;13,874;18,635.0800
;;Республика Хакасия;6,649;12,074;20,427;16,259.1300
;;Российская Федерация;9,808;15,254;20,579;27,220.4200
;;Ростовская область;6,627;11,733;13,174;20,676.1300
;;Рязанская область;5,498;10,313;15,969;17,468.8700
;;Самарская область;7,003;10,497;15,256;26,042.8600
;;Саратовская область;4,662;8,23;13,337;21,550.7000
;;Сахалинская область;9,966;18,673;29,534;37,770.6000
;;Свердловская область;11,178;16,611;19,234;25,047.3700
;;Северо-Западный федеральный округ;10,442;16,769;24,211;28,788.3100
;;Северо-Кавказский федеральный округ;5,613;8,725;11,544;13,859.1200
;;Сибирский федеральный округ;9,597;15,626;19,822;26,835.2300
;;Смоленская область;8,837;8,822;11,268;15,408.6500
;;Ставропольский край;5,857;9,483;11,757;13,385.0100
;;Тамбовская область;4,538;5,957;9,726;13,848.7900
;;Тверская область;7,066;11,399;19,508;19,424.8900
;;Томская область;8,37;16,456;15,753;22,370.2600
;;Тульская область;6,41;11,96;14,148;17,847.6700
;;Тюменская область;17,116;18,095;30,868;32,884.6700
;;Тюменская область (без АО);;;;25,495.1100
;;Тюменская область (частично);;;18,906.0700;
;;Удмуртская Республика;3,975;10,758;12,789;13,181.5400
;;Ульяновская область;4,392;8,983;10,988;12,955.8500
;;Уральский федеральный округ;12,567;16,209;23,639;28,252.2200
;;Хабаровский край;14,624;21,825;27,049;24,908.8800
;;Ханты-Мансийский автономный округ-Югра;19,357;19,756;31,567;35,484.0300
;;Центральный федеральный округ;10,236;16,259;22,792;31,036.1800
